Reporting Area,Current MMWR Year,MMWR WEEK,Label,Current week,"Current week, flag",Previous 52 week Max,"Previous 52 weeks Max, flag",Cumulative YTD Current MMWR Year,"Cumulative YTD Current MMWR Year, flag",Cumulative YTD Previous MMWR Year,"Cumulative YTD Previous MMWR Year, flag",LOCATION1,LOCATION2,sort_order,geocode
U.S. Residents,2025,1,"Measles, Imported",,-,8,,,-,,-,,U.S. Residents,20250104341,
New England,2025,1,"Measles, Imported",,-,0,,,-,,-,,New England,20250104342,
Connecticut,2025,1,"Measles, Imported",,-,0,,,-,,-,Connecticut,,20250104343,POINT (-72.67398 41.76381)
Maine,2025,1,"Measles, Imported",,-,0,,,-,,-,Maine,,20250104344,POINT (-69.77631 44.31804)
Massachusetts,2025,1,"Measles, Imported",,-,0,,,-,,-,Massachusetts,,20250104345,POINT (-71.05675 42.35866)
New Hampshire,2025,1,"Measles, Imported",,-,0,,,-,,-,New Hampshire,,20250104346,POINT (-71.53661 43.20725)
Rhode Island,2025,1,"Measles, Imported",,-,0,,,-,,-,Rhode Island,,20250104347,POINT (-71.41198 41.82388)
Vermont,2025,1,"Measles, Imported",,-,0,,,-,,-,Vermont,,20250104348,POINT (-72.57627 44.26029)
Middle Atlantic,2025,1,"Measles, Imported",,-,2,,,-,,-,,Middle Atlantic,20250104349,
New Jersey,2025,1,"Measles, Imported",,-,1,,,-,,-,New Jersey,,20250104350,POINT (-74.75943 40.21788)
New York,2025,1,"Measles, Imported",,-,1,,,-,,-,New York,,20250104351,POINT (-73.75522 42.65155)
New York City,2025,1,"Measles, Imported",,-,2,,,-,,-,New York City,,20250104352,POINT (-73.75522 42.65155)
Pennsylvania,2025,1,"Measles, Imported",,-,1,,,-,,-,Pennsylvania,,20250104353,POINT (-76.88224 40.25986)
East North Central,2025,1,"Measles, Imported",,-,1,,,-,,-,,East North Central,20250104354,
Illinois,2025,1,"Measles, Imported",,-,0,,,-,,-,Illinois,,20250104355,POINT (-89.64361 39.8013)
